contrast,dissimilarity,homogeneity,energy,correlation,ASM,image,label,sum_of_squares,sum_average,sum_variance,sum_entropy,difference_variance,difference_entropy,IMC1,IMC2
337.3233506944445,6.896515376984127,0.43923956986585844,0.27665022453794175,0.9659877730909313,0.07653534673689358,img-0,0,33425.39920994331,337.44066220238096,66850.80871775793,9.504296222960257,1.3663486008533778e-36,6.151603943719424e-15,0.36134104872727224,
224.2666790674603,6.827194940476191,0.3553095350697175,0.1538613511490212,0.9556812230744733,0.02367331537740241,img-1,0,40761.95115716802,391.059089781746,81523.9142485119,11.014684647012468,4.20805668889411e-36,7.743529544628849e-15,0.3651283568211101,
205.56336805555551,6.909722222222221,0.38425411013677147,0.23346988894701645,0.955087235431006,0.054508189044932195,img-2,0,43724.467684221876,407.11669146825386,87448.94779265863,9.766557523720433,1.3073287255854104e-35,8.53589067583802e-15,0.3806591424486875,
206.8027653769841,6.593936011904761,0.35107263702328995,0.14754598267457936,0.9591807849641427,0.021769817003407268,img-3,0,40821.05593949769,391.34592013888886,81642.12382192457,11.042510469341542,1.193768897092914e-36,6.922355258508153e-15,0.36366841053627663,
224.00558035714283,6.843377976190475,0.3473952557035802,0.14513283431667742,0.9556346565861529,0.021063539596792136,img-4,0,40743.46656615985,390.99317956349205,81486.9450644841,11.089875468090842,4.128048600190529e-36,8.197336393376915e-15,0.36548596533474714,
172.62270585317464,6.132998511904763,0.4032367797838194,0.24264033581706715,0.9622721674981976,0.05887433256541912,img-5,0,43759.26768775899,407.2912326388889,87518.54780505953,9.754313007726667,1.2861366086497333e-35,7.808359062449826e-15,0.3713916262240508,
205.34840029761904,6.921812996031745,0.3821261847992077,0.23196804496278092,0.9550981439539408,0.05380917388385475,img-6,0,43711.586887678684,407.0624379960317,87423.1861979166,9.805185824454098,1.1494015904763983e-36,5.9643185784560455e-15,0.38046649674175825,
172.26798115079364,6.131324404761905,0.4039489291161524,0.24153422797877916,0.9623242203352786,0.05833878328530486,img-7,0,43750.889991098215,407.25768849206344,87501.79241071423,9.779300029646679,1.286226076512006e-35,7.426585047067895e-15,0.3710334906823864,
210.06994047619045,6.507564484126984,0.3767482589054175,0.1918550267003593,0.9589380624299795,0.036808351270195584,img-8,0,40905.32580713454,391.6496775793651,81810.66356646828,10.652935438449049,1.0464188435074171e-36,5.755423362837002e-15,0.3619398694754423,
227.5610739087302,6.805865575396826,0.3667109647548694,0.1722382184852948,0.9552797516104825,0.029666003906988148,img-9,0,40810.315055785904,391.2341889880951,81620.64205109117,10.809193502195226,1.2435437360105453e-36,6.9079486917052254e-15,0.3655526604580003,
208.53087797619045,6.538814484126984,0.36291960534802814,0.16127301870352367,0.9590561133276044,0.026008986561747095,img-10,0,40864.04294735879,391.4971478174603,81728.09784226188,10.865111764629017,1.7686935413529983e-36,6.5189713910421184e-15,0.363131304465005,
224.99640376984127,6.796626984126984,0.3621569499673892,0.1587178119519879,0.9556160158135371,0.025191343830826586,img-11,0,40782.714021722706,391.1422371031745,81565.43998015866,10.941965656643177,3.903512964478682e-36,7.138453747784136e-15,0.36436903003417537,
343.6186135912698,7.609685019841268,0.41323114139762107,0.2518096651720046,0.9652314997686539,0.06340810747403705,img-12,0,33322.473994475746,336.9329737103174,66644.95827132932,9.695110927396595,1.5572423114492235e-36,7.08082748997438e-15,0.36743262681424027,
418.914558531746,8.34499007936508,0.48918969922524724,0.39075204072753356,0.9663793617742349,0.15268715733273205,img-13,0,39377.60462487525,364.1295882936507,78755.22036210311,8.483750619344349,1.2429394153979369e-35,8.579110378066143e-15,0.362537677580828,
71.75316220238095,4.682601686507937,0.35659554647148584,0.13105826159361833,0.9661397073970068,0.017176267931941294,img-14,0,38908.52249168143,389.0962921626983,77817.0568576388,10.177724343087181,2.592653809784329e-36,7.203283302409764e-15,0.38289276476911904,
315.8221726190477,7.964409722222225,0.4501358825990889,0.32587979487692276,0.9747670207825465,0.10619764070902526,img-15,0,37439.002857700456,353.1622023809523,74878.01649305547,9.434672529607187,1.256326160878517e-35,9.184186175452178e-15,0.3603093028459279,
445.68340773809524,9.398561507936506,0.4234446270003406,0.3045784688345728,0.964345930173203,0.09276804367761284,img-16,0,37350.2363096232,352.70461309523813,74700.48338293651,9.567575455427118,1.2392952681160176e-35,9.486724075007383e-15,0.3694114437669318,
317.76791914682536,8.053013392857142,0.44436934259987193,0.31509482994103094,0.9745793399006291,0.0992847518555672,img-17,0,37421.31551355336,353.1069568452381,74842.64180307537,9.54882938314887,8.794052317719041e-37,7.347348974922952e-15,0.36061026176431854,
71.75316220238095,4.682601686507937,0.35659554647148584,0.13105826159361833,0.9661397073970068,0.017176267931941294,img-18,0,38908.52249168143,389.0962921626983,77817.0568576388,10.177724343087181,2.592653809784329e-36,7.203283302409764e-15,0.38289276476911904,
67.44661458333334,4.53280009920635,0.37294266595326503,0.1317993488056612,0.9683109377177495,0.017371068345596347,img-19,0,38896.644950814894,389.01134672619037,77793.30177331339,10.179742176418404,2.701736442599679e-36,7.64268358386649e-15,0.3782534655748696,
71.75316220238095,4.682601686507937,0.35659554647148584,0.13105826159361833,0.9661397073970068,0.017176267931941294,img-20,0,38908.52249168143,389.0962921626983,77817.0568576388,10.177724343087181,2.592653809784329e-36,7.203283302409764e-15,0.38289276476911904,
67.44661458333334,4.53280009920635,0.37294266595326503,0.1317993488056612,0.9683109377177495,0.017371068345596347,img-21,0,38896.644950814894,389.01134672619037,77793.30177331339,10.179742176418404,2.701736442599679e-36,7.64268358386649e-15,0.3782534655748696,
