energy,contrast,correlation,variance,homogeneity,sum_average,sum_variance,sum_entropy,entropy,difference_variance,difference_entropy,information_measure_of_correlation1,information_measure_of_correlation2,max_correlation_coefficient,image,label
0.00024931249999999997,477.5119375000004,0.8629187014629258,1746.7944618437684,0.17654853217243077,229.32956249999964,19602.77545156255,12.436442798889559,12.436442798889559,10400.19583215643,12.436442798889559,9.390324701524847,9.390324701524847,0.0010625,img-9160,0
0.0025982187500000007,678.0230000000033,0.8319417092851228,2040.9089665468887,0.21675795425538222,173.07899999999975,14914.040794015591,11.94122027935171,11.94122027935171,5499.887283359352,11.94122027935171,8.017748455667906,8.017748455667906,0.0473125,img-9161,0
0.028854078124999995,431.16306249999974,0.8690052410910198,1637.6376928437417,0.3315306685993015,117.4359374999997,9570.531387718765,10.486500505262946,10.486500505262946,2590.659328968759,10.486500505262946,7.820373542616235,7.820373542616235,0.1685625,img-9162,0
0.00038828125,361.7710625,0.8959298354777536,1793.4856224687367,0.22308110525843708,242.14093750000038,21398.9223863436,12.061027417048448,12.061027417048448,12273.571202093759,12.061027417048448,9.336064718608219,9.336064718608219,0.0070625,img-9163,0
0.007436671874999997,1308.9400625000123,0.8411573613170019,4147.545888144529,0.2603119587205558,256.9014375000001,31744.90445682417,11.685747225757261,11.685747225757261,13595.41709708998,11.685747225757261,8.26871820017194,8.26871820017194,0.0845625,img-9164,0
0.027747960937499993,788.5676250000053,0.865611806771639,2931.006815855494,0.33131932436148165,169.76299999999995,18146.286492035153,10.679809731585399,10.679809731585399,5905.700118128779,10.679809731585399,7.738858613881674,7.738858613881674,0.1658125,img-9165,0
0.00020761718749999998,762.9443125000121,0.8540340861370913,2587.308601250009,0.17943045489659903,189.53131250000004,18638.641669718756,12.703753129536691,12.703753129536691,6645.62077450015,12.703753129536691,9.62779860827461,9.62779860827461,0.0014375,img-9166,0
0.002320562500000001,977.2621250000113,0.812261610922755,2562.064498746084,0.2228817021782612,139.08012499999992,14229.187729300844,12.201856170191743,12.201856170191743,3461.2482318475872,12.201856170191743,8.29985828266034,8.29985828266034,0.0446875,img-9167,0
0.0102408203125,977.4316250000113,0.8151385549692631,2638.6708912500103,0.26796756474731204,133.10637499999982,14031.132525124962,11.704499667291268,11.704499667291268,3234.795633375038,11.704499667291268,8.052289627008482,8.052289627008482,0.100125,img-9168,0
0.00019709374999999998,551.8075625000047,0.8443670563855641,1759.2316380624975,0.16465353735965998,213.6310625000005,17923.281768031284,12.681020442679626,12.681020442679626,8655.898213249966,12.681020442679626,9.984301048355963,9.984301048355963,0.0008125,img-9169,0
0.05008382812499998,848.5654375000128,0.8936189291798142,3962.3442631249673,0.35251294313288367,169.66268750000012,22263.968015124894,10.474174342999321,10.474174342999321,5576.214243625097,10.474174342999321,6.4869844497623985,6.4869844497623985,0.2233125,img-9170,0
0.03704878124999998,1080.0998125000162,0.8666467906466189,4041.681177656225,0.3281625265965691,171.74756250000027,22470.835342531307,10.779151748751165,10.779151748751165,5617.602805093773,10.779151748751165,7.057051761941802,7.057051761941802,0.1915,img-9171,0
0.00021106250000000001,551.5852500000051,0.9093833766004783,3038.3945832616946,0.20712144740816266,244.40724999999944,26654.69381744127,12.609158981593662,12.609158981593662,12082.06837306634,12.609158981593662,9.809146384380185,9.809146384380185,0.001,img-9172,0
0.018666187500000004,575.3560000000092,0.9140835618750388,3378.750821765634,0.29510744906909736,201.383125,23072.218049234358,11.378506597513965,11.378506597513965,8024.211764328173,11.378506597513965,7.788458713504775,7.788458713504775,0.136,img-9173,0
0.0093713203125,431.9607500000012,0.9324580152484354,3240.5610319335747,0.2943174989926894,184.72887499999976,21020.578347363265,11.43600635438457,11.43600635438457,6785.80157548819,11.43600635438457,8.504971715578458,8.504971715578458,0.0943125,img-9174,0
0.00021819531250000002,387.4031249999986,0.8521742840434601,1315.8623789179894,0.16581873077369091,255.93725000000026,21303.364957910293,12.525237147999464,12.525237147999464,13158.944740519592,12.525237147999464,9.554596237107782,9.554596237107782,0.001,img-9175,0
0.0006984140624999999,724.3612500000013,0.810182291362013,1907.2943853125153,0.18721844583308409,279.3877500000002,26490.93423018739,12.38898634376913,12.38898634376913,15872.486659499906,12.38898634376913,9.391392787668307,9.391392787668307,0.0220625,img-9176,0
0.000226890625,952.1308125000131,0.7654895170291357,2032.8231104375452,0.16579700666229782,256.57531250000073,23650.526469156343,12.611468079474832,12.611468079474832,12861.522930937454,12.611468079474832,9.360606895042023,9.360606895042023,0.00375,img-9177,0
0.0003108515625000001,731.8383750000085,0.8189186322575661,1999.8498331874878,0.19963135389580228,179.0359999999999,15322.179893062592,12.377091172639291,12.377091172639291,5997.122870062644,12.377091172639291,8.447770706072811,8.447770706072811,0.001875,img-9178,0
0.0002954140625,915.020625000014,0.7801081422489774,2064.7083922499987,0.19614389205733518,168.80337500000007,14465.907942125097,12.45135625282692,12.45135625282692,5254.998509687408,12.45135625282692,8.5624939361882,8.5624939361882,0.0033125,img-9179,0
0.0005625468749999999,1002.6910000000121,0.7771533612009576,2267.92166385547,0.20824784604638358,156.01749999999961,14112.08101941017,12.360920264685802,12.360920264685802,4372.635059503828,12.360920264685802,8.245452715386646,8.245452715386646,0.01675,img-9180,0
0.0002641953125,305.051375,0.9096949022505305,1703.0359264335957,0.19444579527445693,271.0943750000012,24699.23169667589,12.317577798548184,12.317577798548184,15695.228446800933,12.317577798548184,10.046012406875573,10.046012406875573,0.0013125,img-9181,0
